"site","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","thick","Article_ID","pool","pool_value","Study_ID","yr_samp","X1","MTBS_ID","MTBS_DISCOVERY_YEAR","lat","long","baecv_lyb","maxsat","last_year_burned","masterlyb","timesincefire"
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",8.928,331,2004,"94","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",7.344,331,2004,"95","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",478.752,331,2004,"96","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",2564.496,331,2004,"97","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",22.176,331,2004,"98","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",229.2,331,2004,"99","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",24.288,331,2004,"100","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",46.848,331,2004,"101","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",52.8,331,2004,"102","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",42.096,331,2004,"103","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",851.136,331,2004,"104","NV4097511756119860624",1986,41,-117.58,1986,1986,NA,1986,18
"Jungo",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",15.552,301,2004,"105","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",26.832,301,2004,"106","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",17.472,301,2004,"107","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",24.336,301,2004,"108","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",14.352,301,2004,"109","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",24.48,301,2004,"110","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",30.24,301,2004,"111","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",18.336,301,2004,"112","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",15.648,301,2004,"113","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
"Jungo",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",23.424,301,2004,"114","NV4100611780919850817",1985,40.99,-117.86,1950,1985,NA,1985,19
