"","site","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","lat","long","thick","Article_ID","pool","pool_value","Study_ID","yr_samp","X1"
"121","cheatgrass_4",33,55,"no","cheatgrass","Norton et al. 2004",42.5026882,-113.3938899,22,"NORT2004","orgsoilC_g_m2",352.1844083,1174,2001,"1179"
"122","cheatgrass_4",30,40,"yes","cheatgrass","Norton et al. 2004",41.892425,-112.2155141,10,"NORT2004","orgsoilC_g_m2",249.6762634,979,2001,"1181"
"123","cheatgrass_5",55,71,"no","cheatgrass","Norton et al. 2004",42.5026882,-113.3938899,16,"NORT2004","orgsoilC_g_m2",646.4420092,1179,2001,"1186"
"124","cheatgrass_6",71,99,"yes","cheatgrass","Norton et al. 2004",42.5026882,-113.3938899,28,"NORT2004","orgsoilC_g_m2",759.9461488,1184,2001,"1191"
"125","sagecheat_1",0,6,"no","sagecheat","Norton et al. 2004",42.5026882,-113.3938899,6,"NORT2004","orgsoilC_g_m2",1574.916127,1189,2001,"1203"
"126","sagecheat_1",0,5,"no","sagecheat","Norton et al. 2004",41.892425,-112.2155141,5,"NORT2004","orgsoilC_g_m2",1780.7118,984,2001,"1205"
"127","sagecheat_2",6,25,"no","sagecheat","Norton et al. 2004",42.5026882,-113.3938899,19,"NORT2004","orgsoilC_g_m2",955.7482924,1194,2001,"1210"
"128","sagecheat_2",5,20,"no","sagecheat","Norton et al. 2004",41.892425,-112.2155141,15,"NORT2004","orgsoilC_g_m2",3280.135166,989,2001,"1212"
"129","sagecheat_3",25,35,"no","sagecheat","Norton et al. 2004",42.5026882,-113.3938899,10,"NORT2004","orgsoilC_g_m2",770.5270494,1199,2001,"1217"
"130","sagecheat_3",20,40,"yes","sagecheat","Norton et al. 2004",41.892425,-112.2155141,20,"NORT2004","orgsoilC_g_m2",618.89653,994,2001,"1219"
"131","sagecheat_4",35,75,"no","sagecheat","Norton et al. 2004",42.5026882,-113.3938899,40,"NORT2004","orgsoilC_g_m2",2489.005017,1204,2001,"1224"
